,model_name,run,run_notes,accuracy,RMSE,MAE
0,Linear Regression,1,,0.9094247922469045,0.015558834789809859,0.08673399309458407
0,"XGBoost(tree, var learning)",1,gbtree; l_rate: 0.05,0.9117917509438095,0.015152243182315709,0.08418969708130558
1,"XGBoost(tree, var learning)",2,gbtree; l_rate: 0.07500000000000001,0.909089462568472,0.015616437076310526,0.0849753215538561
2,"XGBoost(tree, var learning)",3,gbtree; l_rate: 0.1,0.9053609661351273,0.016256911014597725,0.08736183169648344
3,"XGBoost(tree, var learning)",4,gbtree; l_rate: 0.125,0.9034109176155043,0.016591886594578005,0.08891935392089076
4,"XGBoost(tree, var learning)",5,gbtree; l_rate: 0.15,0.9018744213928286,0.01685582295726287,0.08873407164966476
5,"XGBoost(tree, var learning)",6,gbtree; l_rate: 0.175,0.9030699070115857,0.01665046473952033,0.08967602837318739
6,"XGBoost(tree, var learning)",7,gbtree; l_rate: 0.19999999999999998,0.8971248970231142,0.017671687108521603,0.09131666619095914
7,"XGBoost(tree, var learning)",8,gbtree; l_rate: 0.22499999999999998,0.9112711315521494,0.01524167417898855,0.08368937685720002
8,"XGBoost(tree, var learning)",9,gbtree; l_rate: 0.24999999999999997,0.9042026476593934,0.01645588473207519,0.08994011952111189
9,"XGBoost(tree, var learning)",10,gbtree; l_rate: 0.27499999999999997,0.8902886959537274,0.01884599656545878,0.09506091682885448
10,"XGBoost(tree, var learning)",11,gbtree; l_rate: 0.3,0.8992800472142815,0.017301479558316415,0.08883819957674395
11,"XGBoost (tree, var depth)",12,max_depth: 3,0.9142465174060215,0.01473056812596655,0.08321886501925246
12,"XGBoost (tree, var depth)",13,max_depth: 4,0.9061778402520366,0.016116589951645145,0.08517138047978763
13,"XGBoost (tree, var depth)",14,max_depth: 5,0.906825381806663,0.016005356510200196,0.08448647092421806
14,"XGBoost (tree, var depth)",15,max_depth: 6,0.9084120332176693,0.015732804585835192,0.08217798040885788
15,"XGBoost (tree, var depth)",16,max_depth: 7,0.9053227386741715,0.01626347765423565,0.08598938215800042
16,"XGBoost (tree, var depth)",17,max_depth: 8,0.9101158898958132,0.01544011936635417,0.08376785050690468
17,"XGBoost (tree, var depth)",18,max_depth: 9,0.9075022938502226,0.015889077862717697,0.08576985200773775
18,"XGBoost (tree, var depth)",19,max_depth: 10,0.9073164998989331,0.015920993189933275,0.08500819436429354
0,"XGBoost (line, var learning)",1,l_rate: 0.05,0.83012754743665,0.029180362820450143,0.11759069489221474
1,"XGBoost (line, var learning)",2,l_rate: 0.07500000000000001,0.8754474766107612,0.0213953926481705,0.09992194742975628
2,"XGBoost (line, var learning)",3,l_rate: 0.1,0.893176293402187,0.018349970635686358,0.09368210988006298
3,"XGBoost (line, var learning)",4,l_rate: 0.125,0.9021467476282825,0.016809043280887094,0.09086526760046658
4,"XGBoost (line, var learning)",5,l_rate: 0.15,0.9071958336976222,0.01594172099765774,0.08953093885203554
5,"XGBoost (line, var learning)",6,l_rate: 0.175,0.910007278284628,0.015458776459797343,0.08871636834962143
6,"XGBoost (line, var learning)",7,l_rate: 0.19999999999999998,0.9116025810953869,0.015184738414640677,0.08813199999567214
7,"XGBoost (line, var learning)",8,l_rate: 0.22499999999999998,0.9122037904785822,0.015081463824393878,0.08785819613644498
8,"XGBoost (line, var learning)",9,l_rate: 0.24999999999999997,0.9122973925867549,0.01506538503447814,0.08766603148834244
9,"XGBoost (line, var learning)",10,l_rate: 0.27499999999999997,0.9121142291161631,0.015096848502784328,0.08756049610028538
10,"XGBoost (line, var learning)",11,l_rate: 0.3,0.9117982115943016,0.015151133384213825,0.08748959066478931
11,"XGBoost (line, var depth)",12,max_depth: 3,0.9142465174060215,0.01473056812596655,0.08321886501925246
12,"XGBoost (line, var depth)",13,max_depth: 4,0.9061778402520366,0.016116589951645145,0.08517138047978763
13,"XGBoost (line, var depth)",14,max_depth: 5,0.906825381806663,0.016005356510200196,0.08448647092421806
14,"XGBoost (line, var depth)",15,max_depth: 6,0.9084120332176693,0.015732804585835192,0.08217798040885788
15,"XGBoost (line, var depth)",16,max_depth: 7,0.9053227386741715,0.01626347765423565,0.08598938215800042
16,"XGBoost (line, var depth)",17,max_depth: 8,0.9101158898958132,0.01544011936635417,0.08376785050690468
17,"XGBoost (line, var depth)",18,max_depth: 9,0.9075022938502226,0.015889077862717697,0.08576985200773775
18,"XGBoost (line, var depth)",19,max_depth: 10,0.9073164998989331,0.015920993189933275,0.08500819436429354
